game_num,target,guesses,guess_count,failed,is_repeat,repeat_prob
1689,cigar,slate-cairn-curia-cigar,4,False,True,0.109
1690,weigh,slate-drier-eking-weigh,4,False,False,0.1079099999999999
1691,chide,slate-cupid-chide,3,False,False,0.1068308999999999
1692,swoop,slate-croup-swoop,3,False,False,0.1057625909999999
1693,gavel,slate-rangy-gavel,3,False,False,0.1047049650899999
1694,bleat,slate-cleat-bleat,3,False,False,0.1036579154391
1695,embed,slate-drier-embed,3,False,False,0.102621336284709
1696,cello,slate-robin-cello,3,False,False,0.1015951229218619
1697,scene,slate-prion-scene,3,False,False,0.1005791716926432
1698,vegan,slate-ramen-began-vegan,4,False,False,0.0995733799757168
1699,surge,slate-wring-surge,3,False,False,0.0985776461759596
1700,mooch,slate-prion-moody-mooch,4,False,False,0.0975918697142
1701,bloom,slate-bipod-bloom,3,False,False,0.096615951017058
1702,skull,slate-skull,2,False,False,0.0956497915068875
1703,roost,slate-hoist-roost,3,False,False,0.0946932935918186
1704,squad,slate-garbo-shiva-squad,4,False,True,0.1037463606559004
1705,mogul,slate-dilly-lurch-mogul,4,False,False,0.1027088970493414
1706,hoist,slate-hoist,2,False,False,0.101681808078848
1707,stank,slate-ching-stank,3,False,False,0.1006649899980595
1708,awake,slate-grump-weave-awake,4,False,True,0.1096583400980789
1709,guava,slate-churn-guava,3,False,False,0.1085617566970981
1710,attic,slate-tarot-attic,3,False,False,0.1074761391301271
1711,buyer,slate-drier-bower-buyer,4,False,False,0.1064013777388258
1712,shred,slate-sheer-shred,3,False,False,0.1053373639614376
1713,lance,slate-ankle-lance,3,False,False,0.1042839903218232
1714,dizzy,slate-prion-dizzy,3,False,False,0.103241150418605
1715,hydra,slate-cairn-hydra,3,False,False,0.1022087389144189
1716,fluke,slate-plume-fluke,3,False,False,0.1011866515252747
1717,slime,slate-slide-slime,3,False,False,0.100174785010022
1718,linen,slate-rouen-liken-liven-linen,5,False,True,0.1091730371599218
1719,theft,slate-tenet-theft,3,False,False,0.1080813067883225
1720,sheep,slate-sheer-sheen-sheep,4,False,False,0.1070004937204393
1721,gunky,slate-prion-junky-gunky,4,False,False,0.1059304887832349
1722,vogue,slate-croup-vogue,3,False,False,0.1048711838954026
1723,lobby,slate-dilly-loony-lobby,4,False,False,0.1038224720564485
1724,hasty,slate-hasty,2,False,False,0.1027842473358841
1725,shoal,slate-salon-shoal,3,False,False,0.1017564048625252
1726,teddy,slate-tenor-teddy,3,False,False,0.1007388408139
1727,smell,slate-smell,2,False,False,0.0997314524057609
1728,eaten,slate-meter-eaten,3,False,False,0.0987341378817033
1729,ankle,slate-ankle,2,False,False,0.0977467965028863
1730,grade,slate-grump-graze-grace-grade,5,False,True,0.1067693285378574
1731,drama,slate-churn-drama,3,False,False,0.1057016352524789
1732,clasp,slate-clasp,2,False,False,0.1046446188999541
1733,amply,slate-rally-amply,3,False,False,0.1035981727109545
1734,rehab,slate-ramen-rehab,3,False,False,0.102562190983845
1735,oasis,slate-basis-oasis,3,False,False,0.1015365690740065
1736,slick,slate-hinky-slick,3,False,False,0.1005212033832665
1737,basil,slate-basil,2,False,False,0.0995159913494338
1738,serif,slate-sheer-serif,3,False,False,0.0985208314359395
1739,brood,slate-prion-brood,3,False,False,0.0975356231215801
1740,wiser,slate-runes-wiser,3,False,False,0.0965602668903642
1741,befit,slate-tenor-petit-befit,4,False,False,0.0955946642214606
1742,ivory,slate-prion-corgi-ivory,4,False,True,0.104638717579246
1743,afoot,slate-tarot-afoot,3,False,False,0.1035923304034535
1744,chump,slate-prion-bumpy-chump,4,False,False,0.102556407099419
1745,comet,slate-tenor-covet-comet,4,False,True,0.1115308430284248
1746,swamp,slate-crown-swamp,3,False,False,0.1104155345981405
1747,fizzy,slate-prion-fizzy,3,False,False,0.1093113792521591
1748,sober,slate-sheer-sober,3,False,False,0.1082182654596375
1749,singe,slate-prion-singe,3,False,False,0.1071360828050412
1750,sandy,slate-garbo-sappy-mused-sandy,5,False,True,0.1160647219769907
1751,envoy,slate-drier-peony-envoy,4,False,False,0.1149040747572208
1752,sworn,slate-incur-sworn,3,False,False,0.1137550340096486
1753,dense,slate-proud-dense,3,False,False,0.1126174836695521
1754,inlet,slate-legit-inlet,3,False,False,0.1114913088328566
