word,prior,expected_guesses
avail,1.0,2.8336
avale,0.0,2.7518
avant,0.0,2.7623
avast,0.773749,2.7793
avels,0.0,2.7168
avens,0.0,2.7261
avers,0.0,2.7212
avert,1.0,2.6903
avgas,0.0,2.8821
avian,1.0,2.836
avine,0.0,2.6848
avion,0.0,2.7187
avise,0.0,2.6798
aviso,0.0,2.7359
avize,0.0,2.8379
avoid,1.0,2.7625
avows,0.0,2.8147
avyze,0.0,2.9079
await,1.0,2.801
awake,1.0,2.8653
award,1.0,2.8118
aware,1.0,2.7695
awari,0.0,2.8099
awarn,0.0,2.7591
awash,1.0,2.8355
awato,0.0,2.7983
awave,0.0,2.8551
aways,0.0,2.8762
awdls,0.0,2.7531
aweel,0.0,2.7309
aweto,0.0,2.7057
awful,1.0,2.7995
awing,0.0,2.7559
awkin,0.0,2.7837
awmry,0.0,2.7596
awned,0.0,2.6807
awner,0.0,2.6529
awoke,1.0,2.7701
awols,0.0,2.7102
awork,0.0,2.7487
axels,0.0,2.7776
axial,0.928638,2.8816
axile,0.0,2.719
axils,0.0,2.7674
axing,0.956975,2.8175
axiom,1.0,2.8555
axion,0.060813,2.8072
axite,0.0,2.7265
axled,0.0,2.7433
axles,0.0,2.754
axman,0.0,2.902
axmen,0.0,2.7807
axoid,0.0,2.8058
axone,0.0,2.7371
axons,0.0,2.7747
ayahs,0.0,2.8079
ayaya,0.0,3.0814000000000004
ayelp,0.0,2.6694
aygre,0.0,2.6684
ayins,0.0,2.6797
aymag,0.0,2.8486
ayont,0.0,2.6429
ayres,0.0,2.6513
ayrie,0.0,2.643
azans,0.0,2.8671
azide,0.0,2.7754
azido,0.0,2.8406
azine,0.0,2.7358
azlon,0.0,2.7846
azoic,0.0,2.8426
azole,0.0,2.7372
azons,0.0,2.7916
azote,0.0,2.7448
azoth,0.0,2.792
azuki,0.0,2.9456
azure,1.0,2.7841
azurn,0.0,2.7868
azury,0.0,2.8198
azygy,0.0,3.0271
azyme,0.0,2.8452
azyms,0.0,2.8795
baaed,0.0,2.7353
baals,0.0,2.731
baaps,0.0,2.7964
babas,0.0,2.916
babby,0.0,3.0209
babel,0.845544,2.7934
babes,0.0,2.8152
babka,0.97575,3.021
baboo,0.0,2.9324
babul,0.0,2.8166
babus,0.0,2.855
bacca,0.0,2.9168
bacco,0.0,2.8205
baccy,0.0,2.8328
bacha,0.0,2.8298
bachs,0.0,2.7409
backs,0.0,2.7443
backy,0.0,2.7712
bacne,0.0,2.6412
bacon,1.0,2.6616
badam,0.0,2.828
baddy,0.0,2.8563
badge,1.0,2.6738
badly,1.0,2.673
baels,0.0,2.6333
baffs,0.0,2.9201
baffy,0.0,2.9269
bafta,0.0,2.8321
bafts,0.0,2.7357
bagel,1.0,2.6517
baggy,1.0,2.8825
baghs,0.0,2.7648
bagie,0.0,2.6626
bagsy,0.0,2.714
bagua,0.0,2.8281
bahts,0.0,2.6979
bahus,0.0,2.7479
bahut,0.0,2.704
baiks,0.0,2.7295
baile,0.0,2.6006
bails,0.0,2.6349
bairn,0.0,2.6247
baisa,0.0,2.7412
baith,0.0,2.6584
baits,0.0,2.6499
baiza,0.0,2.8966
baize,0.0,2.7555
bajan,0.0,2.8943
bajra,0.0,2.8922
bajri,0.0,2.8343
bajus,0.0,2.8535
baked,1.0,2.7278
baken,0.0,2.7086
baker,1.0,2.6916
bakes,0.0,2.7256
bakra,0.0,2.8035
balas,0.0,2.731
balds,0.0,2.7024
baldy,0.704872,2.6819
baled,0.003896,2.6299
baler,0.835053,2.6184
bales,0.0,2.6282
balks,0.0,2.7095
balky,1.0,2.7364
ballo,0.0,2.7608
balls,0.0,2.7674
bally,0.0,2.7662
balms,0.0,2.6713
balmy,1.0,2.7023
baloi,0.0,2.7098
balon,0.0,2.6484
baloo,0.0,2.7558
balot,0.0,2.6199
balsa,0.976432,2.7456
balti,0.0,2.6614
balun,0.0,2.6663
balus,0.0,2.6788
balut,0.0,2.6444
bamas,0.0,2.7939
bambi,0.0,2.9078
bamma,0.0,2.951
bammy,0.0,2.8655
banak,0.0,2.7934
banal,1.0,2.7368
banco,0.0,2.6749
bancs,0.0,2.6833
banda,0.0,2.7973
bandh,0.0,2.7352
bands,0.0,2.6756
bandy,0.954319,2.6901
baned,0.0,2.6446
banes,0.0,2.6335
bangs,0.0,2.6946
bania,0.0,2.7433
banjo,1.0,2.8113
banks,0.0,2.7093
banky,0.0,2.7441
banns,0.0,2.7948
bants,0.0,2.6559
bantu,0.0,2.6992
banty,0.0,2.6657
bantz,0.0,2.7914
banya,0.0,2.8056
baons,0.0,2.6608
baozi,0.0,2.8652
bappu,0.0,2.9148
bapus,0.0,2.7348
barbe,0.0,2.7271
barbs,0.0,2.7954
barby,0.0,2.8175
barca,0.0,2.7313
barde,0.0,2.6034
bardo,0.0,2.6675
bards,0.0,2.6639
bardy,0.0,2.696
bared,0.003896,2.6225
barer,0.829263,2.7325
bares,0.0,2.6247
barfi,0.0,2.7517
barfs,0.0,2.7014
barfy,0.0,2.7322
barge,1.0,2.6392
baric,0.0,2.6636
barks,0.0,2.6989
barky,0.0,2.7254
barms,0.0,2.6831
barmy,0.0,2.6896
barns,0.0,2.6205
barny,0.0,2.6571
baron,1.0,2.6154
barps,0.0,2.6847
barra,0.0,2.8178
barre,0.997756,2.7114
barro,0.0,2.72
barry,0.0,2.7462
barye,0.0,2.655
basal,0.987324,2.75
basan,0.0,2.7369
basas,0.0,2.8823
based,0.003896,2.6499
basen,0.0,2.6381
baser,0.0,2.6164
bases,0.0,2.7883
basha,0.0,2.8095
basho,0.0,2.7273
basic,1.0,2.6923
basij,0.0,2.8376
basil,1.0,2.6424
basin,1.0,2.6661
basis,1.0,2.8262
basks,0.0,2.8632
bason,0.0,2.6657
basse,0.0,2.736
bassi,0.0,2.8213
basso,0.0,2.7984
bassy,0.0,2.8031
basta,0.0,2.7423
baste,1.0,2.6162
basti,0.0,2.6793
basto,0.0,2.6632
basts,0.0,2.7799
batch,1.0,2.6838
bated,0.003896,2.6378
bates,0.0,2.6346
bathe,1.0,2.641
baths,0.0,2.6849
batik,0.990889,2.713
baton,1.0,2.6373
batos,0.0,2.6568
batta,0.0,2.8532
batts,0.0,2.7615
battu,0.0,2.8065
batty,0.997384,2.7893
bauds,0.0,2.7299
bauks,0.0,2.7459
baulk,0.0,2.7068
baurs,0.0,2.6668
bavin,0.0,2.7387
bawds,0.0,2.8113
bawdy,1.0,2.7834
bawks,0.0,2.8273
bawls,0.0,2.7146
bawns,0.0,2.749
bawrs,0.0,2.7374
bawty,0.0,2.7643
bayas,0.0,2.7949
bayed,0.003896,2.6944
bayer,0.0,2.6643
bayes,0.0,2.7007
bayle,0.0,2.6507
bayou,1.0,2.7751
bayts,0.0,2.699
bazar,0.0,2.8484
bazas,0.0,2.9001
bazoo,0.0,2.9201
bball,0.0,2.915
bdays,0.0,2.8048
beach,1.0,2.6895
beads,0.0,2.6732
