word,unseen_prior,is_target,src_1_norvig,src_2_wordfreq,src_3_subtlex,src_4_github,src_5_nltk_news,src_6_nltk_fiction,src_7_nltk_reuters,src_8_nltk_gutenberg,src_9_nltk_chat,src_10_nltk_web,log_src_1_norvig,log_src_2_wordfreq,log_src_3_subtlex,log_src_4_github,log_src_5_nltk_news,log_src_6_nltk_fiction,log_src_7_nltk_reuters,log_src_8_nltk_gutenberg,log_src_9_nltk_chat,log_src_10_nltk_web,is_standard_plural,is_excluded,src_breadth,conversational_mean,tech_skew,oof_predicted_prob,ranking_prob,stage_1_rank,is_predicted_solution,is_in_4500_guess_list
wafer,1.0,1,1554217.0,1.35e-06,15.0,292.0,0,0,0,4,0,0,6.13080901026146,-5.869338221795625,1.1789769472931695,2.46553155697355,-1.0,-1.0,-1.0,0.4913616938342727,-1.0,-1.0,False,False,5,-1.672590318625614,2.4053560971123886,0.6850201388982544,0.6850201388982544,2483,True,True
waffs,0.0,0,0.0,0.0,0.0,5.0,0,0,0,0,0,0,3.104350519242735,-8.991399828238082,-1.0,0.7075701760979364,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,True,True,1,-2.9978499570595205,2.851635045108489,6.9818138354618965e-06,6.9818138354618965e-06,14646,False,False
wafts,0.0,0,41443.0,1.17e-07,7.0,71.0,0,0,0,4,0,0,4.63057634377621,-6.928044389697019,0.8512583487190752,1.8518696007297664,-1.0,-1.0,-1.0,0.4913616938342727,-1.0,-1.0,True,True,5,-2.0191965102444858,2.445131310609369,0.05216857362058672,0.05216857362058672,3783,False,True
waged,0.003896,1,576479.0,1.58e-06,26.0,559.0,1,0,1,2,0,0,5.761740405170713,-5.801062636181201,1.416640507338281,2.747489492258673,-1.0,-1.0,-1.0,0.3222192947339193,-1.0,-1.0,False,False,7,-1.59610553221073,2.4698502783400667,0.802319862588052,0.802319862588052,2161,True,True
wager,1.0,1,1366964.0,2.69e-06,202.0,2498.0,0,2,0,12,0,1,6.13080901026146,-5.718734767762263,1.8068580295188175,2.9965116522837576,-1.0,-1.0,-1.0,0.4913616938342727,-1.0,-1.0,False,False,7,-1.4779691845608613,2.4762250107027404,0.9817016749914973,0.9817016749914973,603,True,True
wages,0.0,0,8737438.0,1.78e-05,198.0,4280.0,11,3,36,30,0,0,6.13080901026146,-5.718734767762263,1.8068580295188175,2.9965116522837576,-1.0,-1.0,-1.0,0.4913616938342727,-1.0,-1.0,True,True,8,-1.4779691845608613,2.4762250107027404,0.9768551810260485,0.9768551810260485,981,False,True
wagga,0.0,0,738631.0,4.9e-07,0.0,26.0,0,0,0,4,0,0,5.869174553424763,-6.308900818034382,-1.0,1.416640507338281,-1.0,-1.0,-1.0,0.4913616938342727,-1.0,-1.0,False,False,4,-2.3272252045085953,2.5355454581777357,0.0006127882471924142,0.0006127882471924142,5124,False,False
wagon,1.0,1,5198530.0,7.94e-06,906.0,8420.0,0,1,1,8,0,2,6.13080901026146,-5.718734767762263,1.8068580295188175,2.9965116522837576,-1.0,-1.0,-1.0,0.4913616938342727,-1.0,-1.0,False,False,8,-1.4779691845608613,2.4762250107027404,0.9768551810260485,0.9768551810260485,982,True,True
wagyu,0.0,0,19825.0,1.82e-07,0.0,72.0,0,0,2,0,0,0,4.32421246855745,-6.737501448985232,-1.0,1.857935264719429,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,4,-2.434375362246308,2.8633429946060223,4.4413906256110943e-05,4.4413906256110943e-05,6415,False,False
wahay,0.0,0,0.0,0.0,0.0,11.0,0,0,0,0,0,0,3.104350519242735,-8.991399828238082,-1.0,1.0453229787866574,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,False,False,1,-2.9978499570595205,3.0205114464528493,6.84828427596161e-06,6.84828427596161e-06,14793,False,False
