word,prior,expected_guesses
arrow,0.0792568153424657,2.6936
arroz,0.0,2.7207
arsed,0.0,2.4916
arses,0.0,2.5917
arsey,0.0,2.5088
arsis,0.0,2.6301
arson,1.0,2.49
artal,0.0,2.5664
artel,0.0,2.4546
arter,0.0,2.5383
artic,0.0,2.5134
artis,0.0,2.4842
artly,0.0,2.5199
artsy,0.0692189808219178,2.5065
aruhe,0.0,2.5437
arums,0.0,2.5664
arval,0.0,2.6717
arvee,0.0,2.5981
arvos,0.0,2.5919
aryls,0.0,2.5558
asada,0.0,2.8376
asana,0.0,2.7751
ascon,0.0,2.5707
ascot,0.4634321183561644,2.537
ascus,0.0,2.7451
asdic,0.0,2.6401
ashed,0.003896,2.5918
ashen,0.0756066936986301,2.5613
ashes,0.0,2.7153
ashet,0.0,2.5382
aside,1.0,2.5469
asity,0.0,2.5497
askar,0.0,2.6791
asked,0.003896,2.6222
asker,0.829263,2.5895
askew,1.0,2.685
askoi,0.0,2.6817
askos,0.0,2.7711
aspen,0.987907,2.5321
asper,0.0,2.5175
aspic,0.982001,2.5887
aspie,0.0,2.5348
aspis,0.0,2.7071
aspro,0.0,2.5632
assai,0.0,2.8025
assam,0.0,2.8047
assay,0.0007792000000000001,2.8176
assed,0.0,2.6731
asses,0.0,2.8258
asset,1.0,2.6258
assez,0.0,2.795
assot,0.0,2.6461
aster,0.943819,2.4885
astir,0.902458,2.5027
astun,0.0,2.5553
asura,0.0,2.6536
asway,0.0,2.7468
aswim,0.0,2.7035
asyla,0.0,2.6737
ataps,0.0,2.6345
ataxy,0.0,2.7806
atigi,0.0,2.711
atilt,0.0,2.5886
atimy,0.0,2.5833
atlas,0.1650346739726027,2.614
atman,0.0,2.6531
atmas,0.0,2.6686
atmos,0.0,2.5818
atocs,0.0,2.5573
atoke,0.0,2.5696
atoks,0.0,2.6104
atoll,0.994075,2.6343
atoms,0.0,2.5596
atomy,0.0,2.5772
atone,1.0,2.4896
atony,0.0,2.5346
atopy,0.0,2.569
atria,0.0007792000000000001,2.6274
atrip,0.0,2.5238
attap,0.0,2.7475
attar,0.0,2.6763
attas,0.0,2.7325
atter,0.0,2.5623
attic,0.0007792000000000001,2.6895
atuas,0.0,2.6414
aucht,0.0,2.5809
audad,0.0,2.8106
audax,0.0,2.8224
audio,0.6176497578082192,2.6389
audit,1.0,2.5716
augen,0.0,2.5515
auger,0.950148,2.5575
auges,0.0,2.5775
aught,0.840468,2.6109
augur,1.0,2.7175
aulas,0.0,2.6265
aulic,0.0,2.589
auloi,0.0,2.584
aulos,0.0,2.5555
aumil,0.0,2.5864
aunes,0.0,2.5301
aunts,0.0,2.5315
aunty,0.685589,2.5654
aurae,0.0,2.5767
aural,1.0,2.6343
aurar,0.0,2.6868
auras,0.0,2.6562
aurei,0.0,2.5704
aures,0.0,2.5018
auric,0.0,2.5727
auris,0.0,2.546
aurum,0.0,2.7008
autos,0.0,2.5667
auxin,0.0,2.7042
avail,0.7937681271232877,2.7318
avale,0.0,2.6562
avant,0.0,2.6669
avast,0.773749,2.6865
avels,0.0,2.6118
avens,0.0,2.6216
avers,0.0,2.6174
avert,0.8768083945205479,2.5806
avgas,0.0,2.7807
avian,1.0,2.7287
avine,0.0,2.5779
avion,0.0,2.6154
avise,0.0,2.5708
aviso,0.0,2.6278
avize,0.0,2.7299
avoid,0.0007792000000000001,2.6725
avows,0.0,2.7141
avyze,0.0,2.7961
await,0.6139996361643836,2.6964
awake,0.0007792000000000001,2.7488
award,0.1194081534246575,2.7152
aware,0.0500558421917808,2.6653
awari,0.0,2.7033
awarn,0.0,2.6564
awash,0.3156021917808219,2.7371
awato,0.0,2.6933
awave,0.0,2.7583
aways,0.0,2.7582
awdls,0.0,2.6532
aweel,0.0,2.6377
aweto,0.0,2.5958
awful,1.0,2.6981
awing,0.0,2.658
awkin,0.0,2.6819
awmry,0.0,2.6458
awned,0.0,2.5806
awner,0.0,2.5478
awoke,0.0007792000000000001,2.6617
awols,0.0,2.6081
awork,0.0,2.6384
axels,0.0,2.6657
axial,0.928638,2.7604
axile,0.0,2.6111
axils,0.0,2.6623
axing,0.956975,2.7176
axiom,0.8749833336986301,2.7436
axion,0.060813,2.6977
axite,0.0,2.6118
axled,0.0,2.6444
axles,0.0,2.6374
axman,0.0,2.8008
axmen,0.0,2.6745
axoid,0.0,2.7032
axone,0.0,2.6267
axons,0.0,2.6651
ayahs,0.0,2.6982
ayaya,0.0,2.9689
ayelp,0.0,2.5535
aygre,0.0,2.5498
ayins,0.0,2.5687
aymag,0.0,2.7383
ayont,0.0,2.5293
ayres,0.0,2.5288
ayrie,0.0,2.5254
azans,0.0,2.7635
azide,0.0,2.6651
azido,0.0,2.727
azine,0.0,2.6247
azlon,0.0,2.6762
azoic,0.0,2.7325
azole,0.0,2.6272
azons,0.0,2.6805
azote,0.0,2.6297
azoth,0.0,2.6854
azuki,0.0,2.8272
azure,0.5902738454794519,2.6736
azurn,0.0,2.6781
azury,0.0,2.6989
azygy,0.0,2.9074
azyme,0.0,2.7264
azyms,0.0,2.7622
baaed,0.0,2.6328
baals,0.0,2.6324
baaps,0.0,2.6836
babas,0.0,2.8113
babby,0.0,2.9114
babel,0.845544,2.6876
babes,0.0,2.7146
babka,0.97575,2.8946
baboo,0.0,2.8239
babul,0.0,2.7214
babus,0.0,2.7541
bacca,0.0,2.8124
bacco,0.0,2.716
baccy,0.0,2.7255
bacha,0.0,2.7232
bachs,0.0,2.6392
backs,0.0,2.6409
backy,0.0,2.6552
bacne,0.0,2.5363
bacon,0.5181839430136986,2.5618
badam,0.0,2.731
baddy,0.0,2.7498
badge,1.0,2.575
badly,1.0,2.5755
baels,0.0,2.5285
baffs,0.0,2.8207
baffy,0.0,2.8223
bafta,0.0,2.7292
bafts,0.0,2.6365
bagel,0.7061652076712328,2.5482
baggy,1.0,2.7707
baghs,0.0,2.6619
bagie,0.0,2.5539
bagsy,0.0,2.602
bagua,0.0,2.7192
bahts,0.0,2.5973
bahus,0.0,2.6477
bahut,0.0,2.6026
baiks,0.0,2.618
baile,0.0,2.4965
bails,0.0,2.5308
bairn,0.0,2.5198
baisa,0.0,2.6313
baith,0.0,2.5599
baits,0.0,2.5377
baiza,0.0,2.7859
baize,0.0,2.6459
bajan,0.0,2.7921
bajra,0.0,2.7807
bajri,0.0,2.7269
bajus,0.0,2.7529
baked,1.0,2.6264
baken,0.0,2.5985
baker,0.8795459857534247,2.5827
bakes,0.0,2.614
bakra,0.0,2.6895
balas,0.0,2.6318
balds,0.0,2.6036
baldy,0.704872,2.5836
baled,0.003896,2.5309
baler,0.0016917304109589,2.5138
bales,0.0,2.5071
