target,guesses,guess_count,is_common,won_in_6
afire,slate-garbo-afire,3,True,True
afizz,slate-corny-mamba-befit-afizz,5,False,True
aflaj,slate-colin-madly-gulag-aflaj,5,False,True
aflap,slate-colin-madly-gulag-aflaj-aflap,6,False,True
aflow,slate-colin-aglow-ablow-aflow,5,False,True
afoam,slate-corny-dumbo-axiom-afoam,5,False,True
afoot,slate-tarot-afoot,3,True,True
afore,slate-garbo-adore-afore,4,True,True
afoul,slate-colin-brood-afoul,4,True,True
afret,slate-treed-watch-afret,4,False,True
afrit,slate-tarot-acmes-afrit,4,False,True
afros,slate-oasis-comas-grand-afros,5,False,True
after,slate-treed-watch-after,4,True,True
aftos,slate-antsy-astir-afanc-aftos,5,False,True
again,slate-churn-again,3,True,True
agals,slate-doing-abamp-agals,4,False,True
agama,slate-churn-foamy-aapas-agama,5,False,True
agami,slate-churn-foamy-aapas-agami,5,False,True
agamy,slate-churn-foamy-agamy,4,False,True
agape,slate-prick-agape,3,True,True
agars,slate-curbs-dowse-agony-agars,5,False,True
agasp,slate-curbs-awash-agasp,4,False,True
agast,slate-bronc-avast-agast,4,False,True
agate,slate-corgi-agate,3,True,True
agaty,slate-aback-abaya-agaty,4,False,True
agave,slate-prick-mewed-agave,4,True,True
agaze,slate-prick-mewed-agave-agaze,5,False,True
agbas,slate-oasis-anger-abaht-agbas,5,False,True
agene,slate-garbo-aggie-agene,4,False,True
agent,slate-treed-aback-agent,4,True,True
agers,slate-wiper-abase-cagot-agers,5,False,True
aggag,slate-corny-mamba-abjud-aggag,5,False,True
agger,slate-raced-about-anger-aeger-agger,6,False,True
aggie,slate-garbo-aggie,3,True,True
aggri,slate-corny-rabid-prima-aggri,5,False,True
aggro,slate-corny-vroom-radio-aggro,5,False,True
aggry,slate-corny-ached-agmas-aggry,5,False,True
aghas,slate-oasis-anger-abaht-aghas,5,False,True
agidi,slate-corny-mamba-befit-jihad-aduki-agidi,7,False,False
agila,slate-colin-derby-axial-agila,5,False,True
agile,slate-anglo-agile,3,True,True
aging,slate-corny-mixup-aging,4,True,True
agios,slate-oasis-adios-agios,4,False,True
agism,slate-oasis-aargh-agism,4,False,True
agist,slate-antsy-adust-agist,4,False,True
agita,slate-carny-boobs-agita,4,True,True
aglee,slate-anglo-aglee,3,False,True
aglet,slate-paler-ablet-aglet,4,False,True
agley,slate-rangy-agley,3,False,True
agloo,slate-colin-aglow-agloo,4,False,True
aglow,slate-colin-aglow,3,True,True
aglus,slate-basis-pulmo-aglus,4,False,True
agmas,slate-oasis-anger-abaht-agmas,5,False,True
agoge,slate-garbo-agoge,3,False,True
agogo,slate-corny-dumbo-kazoo-agogo,5,False,True
agone,slate-garbo-agoge-agone,4,False,True
agons,slate-oasis-comas-grand-agons,5,False,True
agony,slate-corny-agony,3,True,True
agood,slate-corny-dumbo-avoid-agood,5,False,True
agora,slate-corny-vroom-agora,4,True,True
agree,slate-garbo-agree,3,True,True
agria,slate-corny-fluke-parma-agria,5,False,True
agrin,slate-corny-quran-abrin-agrin,5,False,True
agros,slate-oasis-comas-grand-agros,5,False,True
agrum,slate-corny-fluke-padam-agrum,5,False,True
agued,slate-raced-admin-abbed-agued,5,False,True
agues,slate-wiper-casks-fudgy-agues,5,False,True
aguey,slate-raced-aback-annex-aguey,5,False,True
aguna,slate-corny-mixup-fauna-abuna-aguna,6,False,True
agush,slate-oasis-bursa-agush,4,False,True
aguti,slate-carny-boobs-agita-aguti,5,False,True
ahead,slate-raced-aback-ahead,4,True,True
aheap,slate-raced-venom-aahed-aheap,5,False,True
ahent,slate-treed-aback-agent-abmho-ahent,6,False,True
ahigh,slate-corny-mamba-befit-jihad-ahigh,6,False,True
ahind,slate-corny-mixup-aging-ahind,5,False,True
ahing,slate-corny-mixup-aging-ankhs-ahing,6,False,True
ahint,slate-tarot-adage-ambit-ahint,5,False,True
ahold,slate-colin-brood-ahold,4,True,True
ahole,slate-anglo-abmho-ahole,4,False,True
ahull,slate-colin-grump-uvula-howdy-ahull,6,False,True
ahuru,slate-corny-rabid-augur-ahuru,5,False,True
aidas,slate-oasis-aback-arias-aidas,5,False,True
aided,slate-raced-admin-aided,4,True,True
aider,slate-raced-adder-aider,4,True,True
aides,slate-wiper-aides,3,True,True
aidoi,slate-corny-dumbo-avoid-aidoi,5,False,True
aidos,slate-oasis-adios-aidos,4,False,True
aiery,slate-raced-blown-freak-afizz-aiery,6,False,True
aigas,slate-oasis-aback-arias-aidas-aigas,6,False,True
aight,slate-tarot-adage-aught-aight,5,False,True
ailed,slate-rangy-medal-abled-ailed,5,True,True
aimag,slate-corny-mamba-aimag,4,False,True
aimak,slate-corny-mamba-aimag-aimak,5,False,True
aimed,slate-raced-admin-aimed,4,True,True
aimer,slate-raced-about-anger-amrit-aimer,6,False,True
ainee,slate-garbo-anime-ainee,4,False,True
ainga,slate-corny-denim-ninja-aapas-ainga,6,False,True
aioli,slate-colin-aioli,3,True,True
aired,slate-raced-armed-aired,4,True,True
airer,slate-raced-about-anger-amrit-airer,6,False,True
airns,slate-oasis-aback-angry-airns,5,False,True
airth,slate-carny-aorta-airth,4,False,True
airts,slate-nymph-farce-airts,4,False,True
aisle,slate-abled-aisle,3,True,True
aitch,slate-tarot-ached-aitch,4,False,True
aitus,slate-antsy-astir-aitus,4,False,True
aiver,slate-raced-about-anger-amrit-aiver,6,False,True
aixes,slate-wiper-aides-aixes,4,False,True
aiyah,slate-corny-kayak-aiyah,4,False,True
aiyee,slate-garbo-anime-aiyee,4,False,True
aiyoh,slate-corny-bayou-aiyoh,4,False,True
aiyoo,slate-corny-bayou-aiyoh-aiyoo,5,False,True
aizle,slate-anglo-amped-abide-aizle,5,False,True
ajies,slate-wiper-jambe-ajies,4,False,True
ajiva,slate-corny-mamba-acing-ajiva,5,False,True
ajuga,slate-corny-mamba-acing-ajuga,5,False,True
ajupa,slate-corny-mamba-acing-ajupa,5,False,True
ajwan,slate-corny-denim-pagan-ajwan,5,False,True
akara,slate-churn-abide-amaro-afara-akara,6,False,True
akees,slate-wiper-casks-akees,4,False,True
akela,slate-rangy-medal-aahed-akela,5,False,True
akene,slate-garbo-anime-acene-akene,5,False,True
aking,slate-corny-mixup-aging-ankhs-aking,6,False,True
akita,slate-carny-boobs-agita-akita,5,False,True
akkas,slate-oasis-anger-abbas-amuck-akkas,6,False,True
akker,slate-raced-about-anger-amrit-akker,6,False,True
akoia,slate-corny-dumbo-ajwan-akoia,5,False,True
akoja,slate-corny-dumbo-ajwan-akoja,5,False,True
akoya,slate-corny-bayou-aargh-akoya,5,False,True
aksed,slate-wiper-casks-aksed,4,False,True
akses,slate-wiper-casks-akses,4,False,True
alaap,slate-prick-glamp-alaap,4,False,True
alack,slate-prick-beefs-clack-alack,5,False,True
alala,slate-prick-aback-acold-alala,5,False,True
alamo,slate-prick-aback-acold-alamo,5,False,True
aland,slate-prick-aback-acold-aland,5,False,True
alane,slate-crumb-defog-plane-alane,5,False,True
alang,slate-prick-aback-acold-alang,5,False,True
alans,slate-chaps-adage-alans,4,False,True
alant,slate-plant-alant,3,False,True
alapa,slate-prick-glamp-alapa,4,False,True
alaps,slate-chaps-flaps-aback-alaps,5,False,True
alarm,slate-prick-alarm,3,True,True
alary,slate-prick-alarm-alary,4,False,True
alata,slate-bepat-alata,3,False,True
alate,slate-plate-elate-abaca-alate,5,False,True
alays,slate-chaps-adage-alans-alays,5,False,True
albas,slate-alias-befog-albas,4,False,True
albee,slate-brink-albee,3,False,True
albid,slate-agora-album-albid,4,False,True
album,slate-agora-album,3,True,True
alcea,slate-anger-alley-aahed-alcea,5,False,True
alces,slate-fleas-abmho-alces,4,False,True
alcid,slate-agora-album-byked-alcid,5,False,True
alcos,slate-alias-colog-alcos,4,False,True
aldea,slate-anger-alley-aahed-aldea,5,False,True
alder,slate-anger-alder,3,True,True
aldol,slate-agora-allow-aldol,4,False,True
aleak,slate-anger-aahed-aleak,4,False,True
aleck,slate-anger-aahed-aleck,4,False,True
alecs,slate-fleas-alecs,3,False,True
aleem,slate-anger-alley-aahed-aleem,5,False,True
alefs,slate-fleas-alefs,3,False,True
aleft,slate-bicep-alert-aleft,4,False,True
aleph,slate-anger-aahed-aleph,4,False,True
alert,slate-bicep-alert,3,True,True
alews,slate-fleas-alecs-alews,4,False,True
aleye,slate-brink-algae-abbey-aleye,5,False,True
alfas,slate-alias-befog-alfas,4,False,True
algae,slate-brink-algae,3,True,True
algal,slate-agora-algal,3,False,True
algas,slate-alias-befog-algas,4,False,True
algid,slate-agora-align-algid,4,False,True
algin,slate-agora-align-algin,4,False,True
algor,slate-agora-algor,3,False,True
algos,slate-alias-colog-algos,4,False,True
algum,slate-agora-align-algum,4,False,True
alias,slate-alias,2,True,True
alibi,slate-agora-album-alibi,4,True,True
